"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Year"
"Beak_PC1","Linear",0.157034120813058,0.5354071119957,0.769293974428903,0.286660775575576,2003
"PC.body1","Linear",0.729178470539137,0.563914857462183,0.195988637055055,0.317999966466594,2003
"Beak_PC1²","Quadratic",-0.941413463848283,1.38597005452214,0.496982531856332,1.9209129920321,2003
"PC.body1²","Quadratic",-0.912287581526172,1.75350457737264,0.602878679102832,3.07477830286681,2003
"Beak_PC1 × PC.body1","Correlational",0.550433277132843,1.39726438950502,0.693628009406304,1.95234777417885,2003
"Beak_PC1","Linear",-0.384979108506153,0.38053697940942,0.311694277249877,0.144808392698045,2004
"PC.body1","Linear",0.266300907311267,0.378599674844514,0.48181655123231,0.143337713792372,2004
"Beak_PC1²","Quadratic",-0.212312556007557,1.0535177018795,0.840286301280265,1.10989954817347,2004
"PC.body1²","Quadratic",-1.42271681850908,1.25124670829522,0.255521811189631,1.56561832501961,2004
"Beak_PC1 × PC.body1","Correlational",0.724681724814364,1.03317319099764,0.483044938565499,1.06744684259625,2004
"Beak_PC1","Linear",-0.313422114842596,0.334421955506562,0.348652832250871,0.111838044324833,2005
"PC.body1","Linear",0.246422678346832,0.331379472392259,0.457102245463944,0.109812354722972,2005
"Beak_PC1²","Quadratic",-0.456166505850973,1.04405751370474,0.662171522414209,1.09005609192333,2005
"PC.body1²","Quadratic",0.29933364107309,0.957641782584079,0.754604557318401,0.917077783750812,2005
"Beak_PC1 × PC.body1","Correlational",-0.0573478033628712,0.927128441241396,0.950678068598861,0.859567146558702,2005
"Beak_PC1","Linear",-0.391369642165724,0.266366615175114,0.141754312730473,0.0709511736798471,2006
"PC.body1","Linear",0.490260564935097,0.268931870274224,0.0683046493660777,0.072324350849192,2006
"Beak_PC1²","Quadratic",-1.22330174727523,0.783769314111778,0.118572573045541,0.614294337743246,2006
"PC.body1²","Quadratic",-0.927171553515021,0.705310383280175,0.188658423397669,0.497462736762827,2006
"Beak_PC1 × PC.body1","Correlational",1.14584849944074,0.69419011180202,0.0988148923336032,0.481899911323702,2006
"Beak_PC1","Linear",-0.765409211782432,0.568482074198161,0.178170745985092,0.323171868684643,2007
"PC.body1","Linear",0.787751517236819,0.56689150211593,0.164650865688176,0.321365975171255,2007
"Beak_PC1²","Quadratic",-2.96832275347639,2.69788366827047,0.271227045745994,7.27857628752051,2007
"PC.body1²","Quadratic",-5.64855577658353,3.49542752278408,0.106097721420698,12.2180135670365,2007
"Beak_PC1 × PC.body1","Correlational",3.68032212299857,2.89338542249423,0.203380994989291,8.37167920310211,2007
"Beak_PC1","Linear",0.0169475967438167,0.326684285860255,0.958626222760257,0.106722622628025,2008
"PC.body1","Linear",-0.472493915941149,0.327766613097613,0.149427678793456,0.10743095266148,2008
"Beak_PC1²","Quadratic",-0.829997303937714,0.819499204130572,0.311150739633348,0.671578945570641,2008
"PC.body1²","Quadratic",0.181425957525393,0.761185719176359,0.811612352930676,0.579403699078031,2008
"Beak_PC1 × PC.body1","Correlational",0.394516757586104,0.655459983437501,0.547245382600809,0.429627789887889,2008
"Beak_PC1","Linear",1.14336994883516,0.374319955396192,0.00225416649936562,0.140115429007807,2009
"PC.body1","Linear",-0.779715940573539,0.372489883768767,0.036326486253675,0.13874871351007,2009
"Beak_PC1²","Quadratic",-1.28060499578713,1.28860200421342,0.320323146786786,1.66049512526283,2009
"PC.body1²","Quadratic",-2.00938131253789,1.31546207029516,0.1266342716809,1.73044045838522,2009
"Beak_PC1 × PC.body1","Correlational",1.9453355637236,1.24205137641691,0.11729526485083,1.54269162165914,2009
"Beak_PC1","Linear",-0.632783589442991,0.472579896245778,0.180571287123798,0.22333175833567,2010
"PC.body1","Linear",0.125924929373963,0.470296249788173,0.788886671967752,0.22117856256482,2010
"Beak_PC1²","Quadratic",-0.411712667078607,1.50599209728215,0.784558804189573,2.26801219707628,2010
"PC.body1²","Quadratic",-1.04431855579443,1.52158862708174,0.492502286712417,2.31523195006448,2010
"Beak_PC1 × PC.body1","Correlational",0.526808766765032,1.3500770839251,0.696383903127642,1.82270813253971,2010
"Beak_PC1","Linear",-1.47572827455361e-07,43691.9740543333,0.999999999997305,1908988596.76454,2011
"PC.body1","Linear",4.60354079146197e-08,43691.9744793498,0.999999999999159,1908988633.90416,2011
"Beak_PC1²","Quadratic",-3.73923980613574e-06,108825.262499253,0.999999999972585,11842937758.0312,2011
"PC.body1²","Quadratic",-1.0141357864923e-06,115654.148114801,0.999999999993004,13375881976.1603,2011
"Beak_PC1 × PC.body1","Correlational",2.06392762728927e-06,101438.433716069,0.999999999983766,10289755834.7694,2011
