"Trait1","Trait2","Fitness","Site","Site_Type","Optimum_Trait1","Optimum_Trait2","Max_Fitness"
"jaw","eye","Binary","Overall","overall",3.5107,1.4675,0.3638
"jaw","body","Binary","Overall","overall",2.5786,-2.2785,0.2717
"jaw","nasal","Binary","Overall","overall",3.5107,-6.1005,0.957
"jaw","mouth","Binary","Overall","overall",3.5107,-5.0389,0.4672
"jaw","SL","Binary","Overall","overall",3.2444,-3.2489,0.372
"eye","body","Binary","Overall","overall",1.2763,-5.2508,0.2929
"eye","nasal","Binary","Overall","overall",-1.0175,-6.1005,0.7629
"eye","mouth","Binary","Overall","overall",6.0552,-5.0389,0.3243
"eye","SL","Binary","Overall","overall",-5.2229,5.5871,0.8187
"body","nasal","Binary","Overall","overall",-5.2508,-6.1005,0.9623
"body","mouth","Binary","Overall","overall",-5.2508,-5.0389,0.526
"body","SL","Binary","Overall","overall",3.6662,-6.8255,0.5515
"nasal","mouth","Binary","Overall","overall",-6.1005,-5.0389,0.8565
"nasal","SL","Binary","Overall","overall",-6.1005,-6.6151,0.9607
"mouth","SL","Binary","Overall","overall",-5.0389,-6.8255,0.8677
"jaw","eye","Continuous","Overall","overall",-4.3462,6.0552,0.0916
"jaw","body","Continuous","Overall","overall",-4.3462,-5.2508,0.155
"jaw","nasal","Continuous","Overall","overall",-4.3462,4.4052,0.0603
"jaw","mouth","Continuous","Overall","overall",-4.3462,4.3742,0.1534
"jaw","SL","Continuous","Overall","overall",-4.3462,-6.6151,0.1435
"eye","body","Continuous","Overall","overall",6.0552,-0.6272,0.0018
"eye","nasal","Continuous","Overall","overall",6.0552,4.4052,0.0874
"eye","mouth","Continuous","Overall","overall",6.0552,4.3742,0.2153
"eye","SL","Continuous","Overall","overall",6.0552,1.8002,0.0168
"body","nasal","Continuous","Overall","overall",4.1616,4.4052,-0.0758
"body","mouth","Continuous","Overall","overall",4.1616,4.3742,-0.0144
"body","SL","Continuous","Overall","overall",-5.2508,5.5871,-0.1092
"nasal","mouth","Continuous","Overall","overall",4.4052,4.3742,0.0778
"nasal","SL","Continuous","Overall","overall",4.4052,5.5871,-0.0348
"mouth","SL","Continuous","Overall","overall",4.3742,-0.3036,-0.0124
"jaw","eye","Binary","Crescent Pond","pond",3.3446,4.0397,0.7827
"jaw","body","Binary","Crescent Pond","pond",3.2164,-2.942,0.528
"jaw","nasal","Binary","Crescent Pond","pond",3.3446,-6.0106,0.9769
"jaw","mouth","Binary","Crescent Pond","pond",3.3446,-4.9385,0.7437
"jaw","SL","Binary","Crescent Pond","pond",3.3446,-4.8391,0.7157
"eye","body","Binary","Crescent Pond","pond",-3.1446,3.9556,0.4089
"eye","nasal","Binary","Crescent Pond","pond",-0.7498,-6.0106,0.8969
"eye","mouth","Binary","Crescent Pond","pond",1.3456,-4.9385,0.4869
"eye","SL","Binary","Crescent Pond","pond",-4.0426,3.6865,0.7121
"body","nasal","Binary","Crescent Pond","pond",-5.0879,-6.0106,0.9798
"body","mouth","Binary","Crescent Pond","pond",-5.0879,-4.7817,0.8329
"body","SL","Binary","Crescent Pond","pond",3.9556,-4.8391,0.91
"nasal","mouth","Binary","Crescent Pond","pond",-6.0106,-4.9385,0.9531
"nasal","SL","Binary","Crescent Pond","pond",-6.0106,-4.6946,0.9958
"mouth","SL","Binary","Crescent Pond","pond",-4.9385,-4.8391,0.9297
"jaw","eye","Binary","Little Lake","lake",3.5315,6.0902,0.4075
"jaw","body","Binary","Little Lake","lake",3.5315,4.4984,0.34
"jaw","nasal","Binary","Little Lake","lake",3.5315,4.1378,0.2888
"jaw","mouth","Binary","Little Lake","lake",3.5315,-5.0459,0.332
"jaw","SL","Binary","Little Lake","lake",-0.0439,5.605,0.2567
"eye","body","Binary","Little Lake","lake",6.0902,3.7338,0.2748
"eye","nasal","Binary","Little Lake","lake",6.0902,4.1378,0.3238
"eye","mouth","Binary","Little Lake","lake",6.0902,-5.0459,0.4059
"eye","SL","Binary","Little Lake","lake",-5.2551,-6.8271,0.4019
"body","nasal","Binary","Little Lake","lake",4.1926,4.1378,0.186
"body","mouth","Binary","Little Lake","lake",4.3455,-5.0459,0.2422
"body","SL","Binary","Little Lake","lake",4.4984,-6.8271,0.3026
"nasal","mouth","Binary","Little Lake","lake",4.1378,-5.0459,0.4662
"nasal","SL","Binary","Little Lake","lake",0.7973,-3.4557,0.2373
"mouth","SL","Binary","Little Lake","lake",-5.0459,-6.8271,0.5162
"jaw","eye","Continuous","Crescent Pond","pond",-4.2172,4.6383,0.1092
"jaw","body","Continuous","Crescent Pond","pond",-4.2172,-5.0879,0.301
"jaw","nasal","Continuous","Crescent Pond","pond",-4.2172,3.6007,0.1888
"jaw","mouth","Continuous","Crescent Pond","pond",-4.2172,4.3129,0.2948
"jaw","SL","Continuous","Crescent Pond","pond",-4.2172,-4.8391,0.3109
"eye","body","Continuous","Crescent Pond","pond",4.788,3.4958,0.0935
"eye","nasal","Continuous","Crescent Pond","pond",4.788,3.7664,0.1853
"eye","mouth","Continuous","Crescent Pond","pond",4.788,4.3129,0.142
"eye","SL","Continuous","Crescent Pond","pond",4.788,3.542,0.0811
"body","nasal","Continuous","Crescent Pond","pond",3.9556,3.7664,0.0486
"body","mouth","Continuous","Crescent Pond","pond",3.9556,4.3129,0.0943
"body","SL","Continuous","Crescent Pond","pond",3.9556,3.6865,-0.0789
"nasal","mouth","Continuous","Crescent Pond","pond",-6.0106,4.3129,0.2227
"nasal","SL","Continuous","Crescent Pond","pond",3.7664,3.6865,0.0405
"mouth","SL","Continuous","Crescent Pond","pond",4.3129,3.6865,0.4354
"jaw","eye","Continuous","Little Lake","lake",-4.2813,6.0902,-0.0013
"jaw","body","Continuous","Little Lake","lake",-4.2813,-4.5233,0.1254
"jaw","nasal","Continuous","Little Lake","lake",-4.2813,3.9926,-0.0501
"jaw","mouth","Continuous","Little Lake","lake",-4.2813,4.3166,0.0063
"jaw","SL","Continuous","Little Lake","lake",-4.2813,-6.8271,0.0352
"eye","body","Continuous","Little Lake","lake",6.0902,-4.5233,0.0025
"eye","nasal","Continuous","Little Lake","lake",6.0902,4.1378,-0.0332
"eye","mouth","Continuous","Little Lake","lake",6.0902,4.3166,0.0397
"eye","SL","Continuous","Little Lake","lake",6.0902,-6.8271,0.0048
"body","nasal","Continuous","Little Lake","lake",-4.5233,4.1378,-0.0766
"body","mouth","Continuous","Little Lake","lake",-4.5233,4.3166,0.0225
"body","SL","Continuous","Little Lake","lake",-4.5233,2.2336,-0.1025
"nasal","mouth","Continuous","Little Lake","lake",-4.4314,4.3166,-0.023
"nasal","SL","Continuous","Little Lake","lake",4.1378,5.605,-0.1157
"mouth","SL","Continuous","Little Lake","lake",4.3166,4.9729,-0.0619
