"Comparison","Correlation","Site"
"binary_jaw_eye_overall",0.98,"Overall"
"binary_jaw_eye_Crescent_Pond",0.9929,"Crescent Pond"
"binary_jaw_eye_Little_Lake",0.9984,"Little Lake"
"binary_jaw_body_overall",0.8818,"Overall"
"binary_jaw_body_Crescent_Pond",0.9209,"Crescent Pond"
"binary_jaw_body_Little_Lake",0.9987,"Little Lake"
"binary_jaw_nasal_overall",0.9637,"Overall"
"binary_jaw_nasal_Crescent_Pond",0.9875,"Crescent Pond"
"binary_jaw_nasal_Little_Lake",0.9989,"Little Lake"
"binary_jaw_mouth_overall",0.9986,"Overall"
"binary_jaw_mouth_Crescent_Pond",0.9976,"Crescent Pond"
"binary_jaw_mouth_Little_Lake",0.9988,"Little Lake"
"binary_jaw_SL_overall",0.8434,"Overall"
"binary_jaw_SL_Crescent_Pond",0.9394,"Crescent Pond"
"binary_jaw_SL_Little_Lake",0.722,"Little Lake"
"binary_eye_body_overall",0.9827,"Overall"
"binary_eye_body_Crescent_Pond",0.8368,"Crescent Pond"
"binary_eye_body_Little_Lake",0.9993,"Little Lake"
"binary_eye_nasal_overall",0.9876,"Overall"
"binary_eye_nasal_Crescent_Pond",0.9869,"Crescent Pond"
"binary_eye_nasal_Little_Lake",0.9991,"Little Lake"
"binary_eye_mouth_overall",0.9993,"Overall"
"binary_eye_mouth_Crescent_Pond",0.9662,"Crescent Pond"
"binary_eye_mouth_Little_Lake",0.9987,"Little Lake"
"binary_eye_SL_overall",0.2133,"Overall"
"binary_eye_SL_Crescent_Pond",0.3698,"Crescent Pond"
"binary_eye_SL_Little_Lake",0.9376,"Little Lake"
"binary_body_nasal_overall",0.9689,"Overall"
"binary_body_nasal_Crescent_Pond",0.9858,"Crescent Pond"
"binary_body_nasal_Little_Lake",0.9997,"Little Lake"
"binary_body_mouth_overall",0.9993,"Overall"
"binary_body_mouth_Crescent_Pond",0.9954,"Crescent Pond"
"binary_body_mouth_Little_Lake",0.9995,"Little Lake"
"binary_body_SL_overall",0.9975,"Overall"
"binary_body_SL_Crescent_Pond",0.8507,"Crescent Pond"
"binary_body_SL_Little_Lake",0.9551,"Little Lake"
"binary_nasal_mouth_overall",0.983,"Overall"
"binary_nasal_mouth_Crescent_Pond",0.9833,"Crescent Pond"
"binary_nasal_mouth_Little_Lake",0.9984,"Little Lake"
"binary_nasal_SL_overall",0.9671,"Overall"
"binary_nasal_SL_Crescent_Pond",0.9932,"Crescent Pond"
"binary_nasal_SL_Little_Lake",0.97,"Little Lake"
"binary_mouth_SL_overall",0.9961,"Overall"
"binary_mouth_SL_Crescent_Pond",0.9932,"Crescent Pond"
"binary_mouth_SL_Little_Lake",0.9933,"Little Lake"
"continuous_jaw_eye_Crescent_Pond",0.9882,"Crescent Pond"
"continuous_jaw_eye_Little_Lake",0.9999,"Little Lake"
"continuous_jaw_body_Crescent_Pond",0.9999,"Crescent Pond"
"continuous_jaw_body_Little_Lake",0.9999,"Little Lake"
"continuous_jaw_nasal_Crescent_Pond",0.9998,"Crescent Pond"
